reliability_status,pass_probability_pct,avg_margin_cw,tim_id,mpn,type,heatsink_model,heatsink_r_th,calculated_tim_r_cw,threshold_limit_cw,max_t_case_99,cost_per_app,k_wmk,thickness_mm,manufacturer,description
PASS,100.0,0.7312,GR-0001,09599,Grease,ModuleLED_Micro_8560,1.5,0.094,0.8252,81.16,5.95,1.17,,SparkFun Electronics,Thermal Silicone Compound 5 gram Syringe
PASS,100.0,0.8122,GR-0002,TC3-1G,Grease,ModuleLED_Micro_8560,1.5,0.0129,0.8252,77.23,55.98,8.5,,Chip Quik Inc.,Thermal Silicone Compound 1 gram Syringe
PASS,100.0,0.7887,GR-0003,8615,Grease,ModuleLED_Micro_8560,1.5,0.0365,0.8252,78.38,17.58,3.0,,MG Chemicals,Thermal Non-Silicone Grease 3.5 gram Syringe
PASS,100.0,0.7686,GR-0004,SILVGREASE1,Grease,ModuleLED_Micro_8560,1.5,0.0566,0.8252,79.35,51.05,1.93,,StarTech.com,Thermal Silicone Compound 1.5 gram Syringe
PASS,100.0,0.6614,GR-0005,TC1-10G,Grease,ModuleLED_Micro_8560,1.5,0.1637,0.8252,84.55,8.42,0.67,,Chip Quik Inc.,Thermal Silicone Compound 10 gram Syringe
PASS,100.0,0.7225,GR-0006,HEATGREASE20,Grease,ModuleLED_Micro_8560,1.5,0.1026,0.8252,81.58,4.37,1.07,,StarTech.com,Thermal Silicone Compound 20 gram Tube
PASS,100.0,0.6825,GR-0007,8610-60G,Grease,ModuleLED_Micro_8560,1.5,0.1426,0.8252,83.51,1.9,0.77,,MG Chemicals,Thermal Non-Silicone Compound 2 oz Tube
PASS,100.0,0.8238,GR-0008,TC4-1G,Grease,ModuleLED_Micro_8560,1.5,0.0014,0.8252,76.68,109.41,79.0,,Chip Quik,Thermal Interface Products Heat Sink Thermal Compound - Deep-Space Liquid Metal 79 W/mK 1g/1cc Syringe
PASS,100.0,0.8238,GR-0009,TC4-1G,Grease,ModuleLED_Micro_8560,1.5,0.0014,0.8252,76.68,113.46,79.0,,Chip Quik Inc.,"Thermal Thermal Compound, Liquid Metal 1 gram Syringe"
PASS,100.0,0.6606,GR-0010,TC1-20G,Grease,ModuleLED_Micro_8560,1.5,0.1646,0.8252,84.54,6.09,0.67,,Chip Quik Inc.,Thermal Silicone Compound 20 gram Syringe
PASS,100.0,0.6809,GR-0011,250G,Grease,ModuleLED_Micro_8560,1.5,0.1443,0.8252,83.6,2.25,0.76,,"Boyd Laconia, LLC",Thermal Silicone Compound 2 oz Tube
PASS,100.0,0.813,GR-0012,TG-N909-30,Grease,ModuleLED_Micro_8560,1.5,0.0122,0.8252,77.2,4.65,9.0,,t-Global Technology,Thermal Non-Silicone Grease 30 gram Container
PASS,100.0,0.8123,GR-0013,TC3-3.5G,Grease,ModuleLED_Micro_8560,1.5,0.0129,0.8252,77.23,40.18,8.5,,Chip Quik Inc.,Thermal Silicone Compound 3.5 gram Syringe
PASS,100.0,0.6705,GR-0014,CW7270,Grease,ModuleLED_Micro_8560,1.5,0.1547,0.8252,84.09,20.85,0.71,,Chemtronics,Thermal Non-Silicone Grease 7 gram Syringe
PASS,100.0,0.7523,GR-0015,65-00-GREASE15-0010,Grease,ModuleLED_Micro_8560,1.5,0.0729,0.8252,80.16,6.4,1.5,,Parker Chomerics,Thermal Silicone Grease 10cc Syringe
PASS,100.0,0.8238,GR-0016,TC4-2G,Grease,ModuleLED_Micro_8560,1.5,0.0014,0.8252,76.68,82.22,79.0,,Chip Quik,Thermal Interface Products Heat Sink Thermal Compound - Deep-Space Liquid Metal 79 W/mK 2g/1cc Syringe
PASS,100.0,0.8238,GR-0017,TC4-2G,Grease,ModuleLED_Micro_8560,1.5,0.0014,0.8252,76.68,83.35,79.0,,Chip Quik Inc.,"Thermal Thermal Compound, Liquid Metal 2 gram Syringe"
