tim_id,type,manufacturer,mpn,description,thermal_conductivity_wmk,thickness_mm,width_mm,length_mm,price_thb,weight_g
,Other,MG Chemicals,8329TCS-6ML,"Thermal Epoxy, 2 Part 6 ml Syringe",1.4,,,,1144.65,15.0
,Other,MG Chemicals,8349TFM-25ML,"Thermal Epoxy, 2 Part 25 ml Syringe",0.9,,,,1604.53,62.5
,Other,MG Chemicals,8329TFS-25ML,"Thermal Epoxy, 2 Part 25 ml Syringe",1.2,,,,1625.98,62.5
,Other,MG Chemicals,8349TFM-50ML,"Thermal Epoxy, 2 Part 50 ml Cartridges",0.9,,,,2301.98,125.0
,Other,MG Chemicals,8329TFS-50ML,"Thermal Epoxy, 2 Part 45 ml Cartridge",1.2,,,,2318.88,112.5
,Other,MG Chemicals,8329TCS-50ML,"Thermal Epoxy, 2 Part 50 ml Jar",1.4,,,,2411.83,125.0
,Other,MG Chemicals,8349TFM-45ML,"Thermal Epoxy, 2 Part 45 ml Jar",0.9,,,,2856.43,112.5
,Other,LeaderTech,TGF35-07870787-020,Thermal Interface Products 3.5W/m-K 200*200*0.5 TGF35 Green,3.5,,,,3344.25,35.0
,Other,LeaderTech,TGF35-07870787-039,Thermal Interface Products 3.5W/m-K 200*200*1 TGF35 Green,3.5,,,,3344.25,35.0
,Other,Bergquist,2193454,"Thermal Epoxy, 2 Part 50cc Cartridge",1.8,,,,3893.87,125.0
,Other,"Shiu Li Technology Co., Ltd.",EP770-1100,"Thermal Epoxy, 2 Part 1 kg Can",2.5,,,,3971.5,1000.0
,Other,MG Chemicals,8329TCM-200ML,"Thermal Epoxy, 2 Part 200 ml Jar",1.4,,,,4215.09,500.0
,Other,MG Chemicals,8329TCS-200ML,"Thermal Epoxy, 2 Part 200 ml Jar",1.4,,,,4215.09,500.0
,Other,Bergquist,2194122,"Thermal Epoxy, 2 Part 50cc Cartridge",1.8,,,,4322.61,125.0
,Other,LOCTITE,1188099,"Thermal Epoxy, 2 Part (Order Catalyst Separately) 3 lb Container",1.34,,,,5036.53,1360.8
,Other,LeaderTech,TGF60-07870787-039,Thermal Interface Products 6W/m-K 200*200*1 TGF60 Gray,6.0,,,,7270.9,60.0
,Other,LOCTITE,1188134,"Thermal Epoxy, 2 Part (Order Catalyst Separately) 3 lb Container",2.78,,,,7377.83,1360.8
,Other,LeaderTech,TGF60-07870787-020,Thermal Interface Products 6W/m-K 200*200*0.5 TGF60 Gray,6.0,,,,10070.13,60.0
,Other,LOCTITE,1188135,"Thermal Epoxy, 2 Part (Order Catalyst Separately) 20 lb Container",2.78,,,,14655.55,9072.0
,Other,Bergquist Company,TGF3000SF-00-1500-7GAL,"Thermal Interface Products Gap Filler, 2-Part, Sil-Free, Room Temp Cure, 3W/mK, 7 Gallon Pail, TGF3000SF",3.0,,,,305250.4,7.0
,Thermal Pad,t-Global Technology,TG-A1250-5-5-1.0,Thermal Pad Green 5.00mm x 5.00mm Square,12.5,1.0,5.0,5.0,3.25,
,Thermal Pad,t-Global Technology,TG-A2200-5-5-2.0,Thermal Pad Gray 5.00mm x 5.00mm Square Tacky - One Side,2.2,2.01,5.0,5.0,3.25,
,Thermal Pad,t-Global Technology,TG-A6200-7.2-6.3-1.0,Thermal Pad Blue 7.20mm x 6.30mm Rectangular Tacky - Both Sides,6.2,1.0,7.2,6.3,3.25,
,Thermal Pad,t-Global Technology,TG-A2200-10-10-1.0,Thermal Pad Gray 10.00mm x 10.00mm Square Tacky - One Side,2.2,1.0,10.0,10.0,3.25,
,Thermal Pad,t-Global Technology,TG-A4500-10-10-0.5,Thermal Pad Purple 10.00mm x 10.00mm Square Tacky - Both Sides,4.5,0.5,10.0,10.0,3.25,
,Thermal Pad,t-Global Technology,TG-A6200-5-5-1.0,Thermal Pad Blue 5.00mm x 5.00mm Square Tacky - Both Sides,6.2,1.0,5.0,5.0,3.25,
,Thermal Pad,t-Global Technology,TG-A2200-10-10-1.5,Thermal Pad Gray 10.00mm x 10.00mm Square Tacky - One Side,2.2,1.5,10.0,10.0,3.58,
,Thermal Pad,t-Global Technology,TG-A6200-10-10-0.5,Thermal Pad Blue 10.00mm x 10.00mm Square Tacky - Both Sides,6.2,0.5,10.0,10.0,3.9,
,Thermal Pad,t-Global Technology,TG-A2200-10-10-2.0,Thermal Pad Gray 10.00mm x 10.00mm Square Tacky - One Side,2.2,2.01,10.0,10.0,4.23,
,Thermal Pad,t-Global Technology,TG-ALC-15-15-0.2-0,Thermal Pad Green 15.00mm x 15.00mm Square Tacky - Both Sides,4.2,0.2,15.0,15.0,4.23,
,Thermal Pad,t-Global Technology,TG-A3500-10-10-2.0,Thermal Pad Yellow 10.00mm x 10.00mm Square Tacky - Both Sides,3.5,2.01,10.0,10.0,4.23,
,Thermal Pad,Bergquist,SPK4-0.006-00-58,Thermal Pad Gray 19.05mm x 12.70mm Rectangular,0.9,0.15,19.05,12.7,4.55,
,Thermal Pad,t-Global Technology,T62-1-15-15-0.16,Thermal Pad Black 15.00mm x 15.00mm Square Adhesive - One Side,15.0,0.16,15.0,15.0,4.55,
,Thermal Pad,t-Global Technology,DC0011/08-TG-A373F-0.25-2A,Thermal Pad Yellow 19.05mm x 12.70mm Rectangular Adhesive - Both Sides,1.4,0.25,19.05,12.7,4.88,
,Thermal Pad,Bergquist,Q3-0.005-00-104,Thermal Pad Black 25.40mm x 19.05mm Rectangular,2.0,0.13,25.4,19.05,5.2,
,Thermal Pad,t-Global Technology,TG-A6200-10-5-2.0,Thermal Pad Blue 10.00mm x 5.00mm Rectangular Tacky - Both Sides,6.2,2.01,10.0,5.0,5.2,
,Thermal Pad,Bergquist,Q3-0.005-00-51,Thermal Pad Black 17.45mm x 14.27mm Rectangular,2.0,0.13,17.45,14.27,5.53,
,Thermal Pad,t-Global Technology,TG-A3500-10-10-3.0,Thermal Pad Yellow 10.00mm x 10.00mm Square Tacky - Both Sides,3.5,3.0,10.0,10.0,5.85,
,Thermal Pad,t-Global Technology,TG-A6200-10-10-1.0,Thermal Pad Blue 10.00mm x 10.00mm Square Tacky - Both Sides,6.2,1.0,10.0,10.0,5.85,
,Thermal Pad,Bergquist,SP600-90,Thermal Pad Green 21.84mm x 18.80mm Rectangular,1.0,0.23,21.84,18.8,6.5,
,Thermal Pad,t-Global Technology,TG-A1250-10-10-0.5,Thermal Pad Green 10.00mm x 10.00mm Square,12.5,0.5,10.0,10.0,6.5,
,Thermal Pad,t-Global Technology,TG-A2200-15-15-1.0,Thermal Pad Gray 15.00mm x 15.00mm Square Tacky - One Side,2.2,1.0,15.0,15.0,6.5,
,Thermal Pad,t-Global Technology,TG-A4500-10-10-2.0,Thermal Pad Purple 10.00mm x 10.00mm Square Tacky - Both Sides,4.5,2.01,10.0,10.0,6.5,
,Thermal Pad,Bergquist,SP400-0.009-00-58,Thermal Pad Gray 19.05mm x 12.70mm Rectangular,0.9,0.23,19.05,12.7,6.83,
,Thermal Pad,Bergquist,SP400-0.009-00-54,Thermal Pad Gray 19.05mm x 12.70mm Rectangular,0.9,0.23,19.05,12.7,6.83,
,Thermal Pad,Bergquist,SP400-0.007-00-54,Thermal Pad Gray 19.05mm x 12.70mm Rectangular,0.9,0.18,19.05,12.7,7.15,
,Thermal Pad,t-Global Technology,TG-A6200-11-11-1.0,Thermal Pad Blue 11.00mm x 11.00mm Square Tacky - Both Sides,6.2,1.0,11.0,11.0,7.15,
,Thermal Pad,t-Global Technology,TG-A3500-10-10-4.0,Thermal Pad Yellow 10.00mm x 10.00mm Square Tacky - Both Sides,3.5,3.99,10.0,10.0,7.15,
,Thermal Pad,t-Global Technology,LI98-28-28-0.25,Thermal Pad White 28.00mm x 28.00mm Square Adhesive - Both Sides,1.0,0.25,28.0,28.0,7.15,
,Thermal Pad,t-Global Technology,TG-T1000-10-10-0.25-5PT,Thermal Pad White 10.00mm x 10.00mm Square Adhesive - Both Sides,1.0,0.25,10.0,10.0,7.15,
,Thermal Pad,Bergquist,SP400-0.007-AC-54,Thermal Pad Gray 19.05mm x 12.70mm Rectangular Adhesive - One Side,0.9,0.18,19.05,12.7,7.48,
,Thermal Pad,t-Global Technology,TG-A9000-10-10-1.0,Thermal Pad Pink 10.00mm x 10.00mm Square,9.0,1.0,10.0,10.0,7.48,
,Thermal Pad,Bergquist,SP400-0.007-00-104,Thermal Pad Gray 25.40mm x 19.05mm Rectangular,0.9,0.18,25.4,19.05,8.13,
,Thermal Pad,t-Global Technology,T62-30-30-0.13,Thermal Pad Black 30.00mm x 30.00mm Square,20.0,0.13,30.0,30.0,8.13,
,Thermal Pad,t-Global Technology,TG-A6200-15-15-0.5,Thermal Pad Blue 15.00mm x 15.00mm Square Tacky - Both Sides,6.2,0.5,15.0,15.0,8.13,
,Thermal Pad,t-Global Technology,TG-A3500-10-10-5.0,Thermal Pad Yellow 10.00mm x 10.00mm Square Tacky - Both Sides,3.5,5.0,10.0,10.0,8.45,
,Thermal Pad,Bergquist,SP400-0.009-00-90,Thermal Pad Gray 21.84mm x 18.80mm Rectangular,0.9,0.23,21.84,18.8,8.78,
,Thermal Pad,t-Global Technology,TG-A6200-10-10-1.5,Thermal Pad Blue 10.00mm x 10.00mm Square Tacky - Both Sides,6.2,1.5,10.0,10.0,8.78,
,Thermal Pad,Bergquist,SP900S-0.009-AC-54,Thermal Pad Pink 19.05mm x 12.70mm Rectangular Adhesive - One Side,1.6,0.23,19.05,12.7,9.43,
,Thermal Pad,Bergquist,SP900S-0.009-00-54,Thermal Pad Pink 19.05mm x 12.70mm Rectangular,1.6,0.23,19.05,12.7,9.43,
,Thermal Pad,Bergquist,SP400-0.009-00-51,Thermal Pad Gray 17.45mm x 14.27mm Rectangular,0.9,0.23,17.45,14.27,9.75,
,Thermal Pad,t-Global Technology,TG-A1250-10-10-1.0,Thermal Pad Green 10.00mm x 10.00mm Square,12.5,1.0,10.0,10.0,10.4,
,Thermal Pad,Bergquist,HF115AC-0.0055-AC-54,Thermal Pad Gray 19.05mm x 12.70mm Rectangular Adhesive - One Side,0.8,0.14,19.05,12.7,10.73,
,Thermal Pad,Bergquist,1009-54,Thermal Pad Pink 19.05mm x 12.70mm Rectangular,1.2,0.23,19.05,12.7,10.73,
,Thermal Pad,Bergquist,SPK10-0.006-00-54,Thermal Pad Beige 19.05mm x 12.70mm Rectangular,1.3,0.15,19.05,12.7,11.38,
,Thermal Pad,Bergquist,SP900S-0.009-00-90,Thermal Pad Pink 21.84mm x 18.80mm Rectangular,1.6,0.23,21.84,18.8,11.38,
,Thermal Pad,Bergquist,SP900S-0.009-00-104,Thermal Pad Pink 25.40mm x 19.05mm Rectangular,1.6,0.23,25.4,19.05,11.7,
,Thermal Pad,Bergquist,SP900S-0.009-AC-58,Thermal Pad Pink 19.05mm x 12.70mm Rectangular Adhesive - One Side,1.6,0.23,19.05,12.7,12.35,
,Thermal Pad,Bergquist,2188938,"Thermal Pad Gray, Green 25.02mm x 11.00mm Round",0.9,0.3,25.02,11.0,13.98,
,Thermal Pad,t-Global Technology,TG-A1250-15-15-0.5,Thermal Pad Green 15.00mm x 15.00mm Square,12.5,0.5,15.0,15.0,14.3,
,Thermal Pad,t-Global Technology,CP23-TO220-21.5-11.4-5.8-0.45,Thermal Pad Gray 21.50mm x 11.40mm x 5.80mm Rectangular,1.9,0.45,21.5,11.4,15.6,
,Thermal Pad,Vishay Dale Thin Film,THJP0603AST1,Thermal Pad 1.55mm x 0.84mm Rectangular,70.0,0.76,1.55,0.84,17.55,
,Thermal Pad,"Boyd Laconia, LLC",53-77-9G,"Thermal Pad Gray, Green 18.42mm x 13.21mm Rectangular",0.9,0.15,18.42,13.21,18.85,
,Thermal Pad,t-Global Technology,CP33-TO247-28.5-17.5-5.8-0.45,Thermal Pad Gray 28.50mm x 17.50mm x 5.80mm Rectangular,1.9,0.45,28.5,17.5,20.8,
,Thermal Pad,Bergquist,SPK10-0.006-00-58,Thermal Pad Beige 19.05mm x 12.70mm Rectangular,1.3,0.15,19.05,12.7,21.78,
,Thermal Pad,Bergquist,Q3-0.005-00-54,Thermal Pad Black 19.05mm x 12.70mm Rectangular,2.0,0.13,19.05,12.7,22.1,
,Thermal Pad,Bergquist,SPT400-12-13.5-25,"Thermal Pad Gray, Green 25.02mm x 13.50mm Round",0.9,0.3,25.02,13.5,22.75,
,Thermal Pad,t-Global Technology,TG-A1250-15-15-1.0,Thermal Pad Green 15.00mm x 15.00mm Square,12.5,1.0,15.0,15.0,22.75,
,Thermal Pad,Parker Chomerics,60-11-8302-1674,Thermal Pad Blue 18.03mm x 12.70mm Rectangular,1.0,0.25,18.03,12.7,23.08,
,Thermal Pad,Bergquist,SPK10-0.006-00-90,Thermal Pad Beige 21.84mm x 18.80mm Rectangular,1.3,0.15,21.84,18.8,23.4,
,Thermal Pad,Wakefield Thermal Solutions,175-6-220P,Thermal Pad Gray 18.00mm x 12.70mm Rectangular,0.5,0.15,18.0,12.7,23.73,
,Thermal Pad,Bergquist,SPK10-0.006-00-104,Thermal Pad Beige 25.40mm x 19.05mm Rectangular,1.3,0.15,25.4,19.05,24.38,
,Thermal Pad,"Boyd Laconia, LLC",53-77-4G,"Thermal Pad Gray, Green 19.05mm x 12.70mm Rectangular",0.9,0.15,19.05,12.7,25.35,
,Thermal Pad,Vishay Dale Thin Film,THJP0612AST1,Thermal Pad 1.06mm x 3.20mm Rectangular,259.0,0.76,1.06,3.2,26.0,
,Thermal Pad,Bergquist,HF115AC-0.0055-AC-90,Thermal Pad Gray 21.84mm x 18.79mm Rectangular Adhesive - One Side,0.8,0.14,21.84,18.79,26.33,
,Thermal Pad,"Boyd Laconia, LLC",53-77-4ACG,"Thermal Pad Gray, Green 19.05mm x 12.70mm Rectangular Adhesive - One Side",0.9,0.15,19.05,12.7,27.3,
,Thermal Pad,Wakefield Thermal Solutions,173-7-240A,Thermal Pad Gray 19.10mm x 12.70mm Rectangular Adhesive - One Side,1.2,0.18,19.1,12.7,29.58,
,Thermal Pad,t-Global Technology,TG-APC93-20-20-2.0-0,Thermal Pad Gray 20.00mm x 20.00mm Square,2.0,2.01,20.0,20.0,31.53,
,Thermal Pad,t-Global Technology,TG-A3500-25-25-3.0,Thermal Pad Yellow 25.00mm x 25.00mm Square Tacky - Both Sides,3.5,3.0,25.0,25.0,33.48,
,Thermal Pad,"Boyd Laconia, LLC",53-77-9ACG,"Thermal Pad Gray, Green 18.42mm x 13.21mm Rectangular Adhesive - One Side",0.9,0.15,18.42,13.21,33.8,
,Thermal Pad,t-Global Technology,TG-A6200-20-20-2.0,Thermal Pad Blue 20.00mm x 20.00mm Square Tacky - Both Sides,6.2,2.01,20.0,20.0,39.33,
,Thermal Pad,Bergquist,SP600-104,Thermal Pad Green 25.40mm x 19.05mm Rectangular,1.0,0.23,25.4,19.05,42.25,
,Thermal Pad,t-Global Technology,TG-A1250-15-15-2.0,Thermal Pad Green 15.00mm x 15.00mm Square,12.5,2.01,15.0,15.0,43.23,
,Thermal Pad,Bergquist,SP2000-0.015-00-104,Thermal Pad White 25.40mm x 19.05mm Rectangular,3.5,0.38,25.4,19.05,47.45,
,Thermal Pad,t-Global Technology,TG-AH486-21-15-13.0-1A,Thermal Pad Gray 21.00mm x 15.00mm Rectangular Adhesive - One Side,3.2,13.0,21.0,15.0,49.46,
,Thermal Pad,KYOCERA AVX,QB0603B25WYT,Thermal Pad 1.52mm x 0.76mm Rectangular,50.0,0.06,1.52,0.76,51.35,
,Thermal Pad,t-Global Technology,TG-A1250-30-30-0.5,Thermal Pad Green 30.00mm x 30.00mm Square,12.5,0.5,30.0,30.0,52.65,
,Thermal Pad,Vishay Dale Thin Film,THJP1225AST1,Thermal Pad 3.20mm x 6.40mm Rectangular,259.0,0.76,3.2,6.4,59.48,
,Thermal Pad,t-Global Technology,TG-AH486-35-10-7.0-0,Thermal Pad Gray 35.00mm x 10.00mm Rectangular,3.2,7.01,35.0,10.0,62.73,
,Thermal Pad,Sensata-Crydom,HSP-2,Thermal Pad Black 57.15mm x 44.45mm Rectangular Adhesive - One Side,2.0,0.13,57.15,44.45,65.98,
,Thermal Pad,t-Global Technology,TG-A486G-20-20-2.5-0,Thermal Pad Gray 20.00mm x 20.00mm Square Tacky - Both Sides,6.3,2.5,20.0,20.0,65.98,
,Thermal Pad,Würth Elektronik,407150015050,Thermal Pad Black 15.00mm x 15.00mm Square Adhesive - Both Sides,400.0,5.0,15.0,15.0,71.18,
,Thermal Pad,Würth Elektronik,407150015030,Thermal Pad Black 15.00mm x 15.00mm Square Adhesive - Both Sides,400.0,3.0,15.0,15.0,71.18,
,Thermal Pad,t-Global Technology,TG-AH486-45-25-6.0-0,Thermal Pad Gray 45.00mm x 25.00mm Rectangular,3.2,5.99,45.0,25.0,79.63,
,Thermal Pad,Würth Elektronik,407150015200,Thermal Pad Black 15.00mm x 15.00mm Square Adhesive - Both Sides,400.0,19.99,15.0,15.0,80.28,
,Thermal Pad,KYOCERA AVX,QB0805A40WYT,Thermal Pad 2.03mm x 1.27mm Rectangular,100.0,1.02,2.03,1.27,80.93,
,Thermal Pad,KYOCERA AVX,QB0805B40WYT,Thermal Pad 2.03mm x 1.27mm Rectangular,100.0,1.02,2.03,1.27,80.93,
,Thermal Pad,t-Global Technology,TG-AH486-25-25-9.0-0,Thermal Pad Gray 25.00mm x 25.00mm Square,3.2,8.99,25.0,25.0,82.23,
,Thermal Pad,Würth Elektronik,407150045015,Thermal Pad Black 45.00mm x 15.00mm Rectangular Adhesive - Both Sides,400.0,1.5,45.0,15.0,83.53,
,Thermal Pad,ADLINK Technology,EAPUS SARCON GR-HM 10.8X10.8X0.5MM,"Thermal Interface Products Pad,Type=GR-Hm,Size=10.8x10.8x0.5mm,K=6W/mK,Color=Reddish Gray",6.0,0.5,10.8,10.8,92.5,
,Thermal Pad,ADLINK Technology,EAPUS SARCON XR-Hl 16.5X7.5X2.0MM,"Thermal Interface Products Pad,Type=XR-HL,Size=16.5x7.5x2.0mm,K=1.2W/mK,Color=Black",1.2,2.0,16.5,7.5,92.5,
,Thermal Pad,ADLINK Technology,EAPUS SARCON XR-Hl 20X10X2.5MM,"Thermal Interface Products Pad,Type=XR-HL,Size=20x10x2.5mm,K=1.2W/mK,Color=Black",1.2,2.5,20.0,10.0,92.5,
,Thermal Pad,ADLINK Technology,EAPUS SARCON XR-Hl 35X11X2.5MM,"Thermal Interface Products Pad,Type=XR-HL,Size=35x11x2.5mm,K=1.2W/mK,Color=Black",1.2,2.5,35.0,11.0,92.5,
,Thermal Pad,ADLINK Technology,EAPUS SARCON XR-Hl 12X14X3.0MM,"Thermal Interface Products Pad,Type=XR-HL,Size=12x14x3.0mm,K=1.2W/mK,Color=Black",1.2,3.0,12.0,14.0,92.5,
,Thermal Pad,Parker Chomerics,60-11-5791-1671,Thermal Pad White 17.45mm x 14.28mm Rectangular,2.6,0.38,17.45,14.28,93.28,
,Thermal Pad,Wakefield Thermal,PL-05-3-254,"Thermal Interface Products ulTIMiFlux Gap Pad, Silicone, 0.5mm Thickness, 3 W/m-K, 25.4x25.4mm, Green",3.0,0.5,25.4,25.4,94.25,
,Thermal Pad,Parker Chomerics,60-11-8302-1671,Thermal Pad White 18.03mm x 12.70mm Rectangular,2.6,0.38,18.03,12.7,94.58,
,Thermal Pad,t-Global Technology,TG-A1250-40-40-0.5,Thermal Pad Green 40.00mm x 40.00mm Square,12.5,0.5,40.0,40.0,95.88,
,Thermal Pad,Wakefield Thermal,PL-05-5-254,"Thermal Interface Products ulTIMiFlux Gap Pad, Silicone, 0.5mm Thickness, 5 W/m-K, 25.4x25.4mm, Gold",5.0,0.5,25.4,25.4,98.15,
,Thermal Pad,Wakefield Thermal,PL-05-3-254-H,"Thermal Interface Products ulTIMiFlux Gap Pad, Silicone, 0.5mm Thickness, 3 W/m-K, 25.4x25.4mm, Hyper Soft",3.0,0.5,25.4,25.4,98.48,
,Thermal Pad,Wakefield Thermal,PL-05-5-254-H,"Thermal Interface Products ulTIMiFlux Gap Pad, Silicone, 0.5mm Thickness, 5 W/m-K, 25.4x25.4mm, Hyper Soft",5.0,0.5,25.4,25.4,102.05,
,Thermal Pad,Wakefield Thermal,PL-2-1-254,"Thermal Interface Products ulTIMiFlux Gap Pad, Silicone, 2mm Thickness, 1 W/m-K, 25.4x25.4mm, Grey",1.0,2.0,25.4,25.4,102.7,
,Thermal Pad,Wakefield Thermal,PL-2-3-254,"Thermal Interface Products ulTIMiFlux Gap Pad, Silicone, 2mm Thickness, 3 W/m-K, 25.4x25.4mm, Green",3.0,2.0,25.4,25.4,109.85,
,Thermal Pad,Wakefield Thermal,PL-2-3-254-H,"Thermal Interface Products ulTIMiFlux Gap Pad, Silicone, 2mm Thickness, 3 W/m-K, 25.4x25.4mm, Hyper Soft",3.0,2.0,25.4,25.4,114.08,
,Thermal Pad,Wakefield Thermal,PL-1-5-254,"Thermal Interface Products ulTIMiFlux Gap Pad, Silicone, 1mm Thickness, 5 W/m-K, 25.4x25.4mm, Gold",5.0,1.0,25.4,25.4,116.03,
,Thermal Pad,Bergquist,SP2000-0.015-00-58,Thermal Pad White 19.05mm x 12.70mm Rectangular,3.5,0.38,19.05,12.7,124.48,
,Thermal Pad,t-Global Technology,TG-A3500-40-40-5.0,Thermal Pad Yellow 40.00mm x 40.00mm Square Tacky - Both Sides,3.5,5.0,40.0,40.0,125.13,
,Thermal Pad,t-Global Technology,TG-AH486-100-100-1.0-0,Thermal Pad Gray 100.00mm x 100.00mm Square,3.2,1.0,100.0,100.0,154.05,
,Thermal Pad,Wakefield Thermal,PL-2-5-254-H,"Thermal Interface Products ulTIMiFlux Gap Pad, Silicone, 2mm Thickness, 5 W/m-K, 25.4x25.4mm, Hyper Soft",5.0,2.0,25.4,25.4,158.93,
,Thermal Pad,t-Global Technology,TG-A1250-30-30-2.0,Thermal Pad Green 30.00mm x 30.00mm Square,12.5,2.01,30.0,30.0,159.58,
,Thermal Pad,Wakefield Thermal,PL-05-1-1016,"Thermal Interface Products ulTIMiFlux Gap Pad, Silicone, 0.5mm Thickness, 1 W/m-K, 101.6x101.6mm, Grey",1.0,0.5,101.6,101.6,168.35,
,Thermal Pad,t-Global Technology,TG-A1250-25-25-3.0,Thermal Pad Green 25.00mm x 25.00mm Square,12.5,3.0,25.0,25.0,169.98,
,Thermal Pad,Wakefield Thermal,PL-2-5-254,"Thermal Interface Products ulTIMiFlux Gap Pad, Silicone, 2mm Thickness, 5 W/m-K, 25.4x25.4mm, Gold",5.0,2.0,25.4,25.4,176.15,
,Thermal Pad,t-Global Technology,TG-A1780-25-25-0.5,Thermal Pad Gray 25.00mm x 25.00mm Square,17.8,0.5,25.0,25.0,178.75,
,Thermal Pad,Wakefield Thermal,PL-1-1.5-76X127-15,"Thermal Interface Products ulTIMiFlux Gap Pad, Silicone, 1mm Thickness, 1.5 W/mK, 76.2x127mm, Grey",1.5,1.0,76.2,127.0,205.73,
,Thermal Pad,Würth Elektronik,4051100100017,Thermal Pad 100.00mm x 100.00mm Square Acrylic,1800.0,0.04,100.0,100.0,217.75,
,Thermal Pad,t-Global Technology,TG-A1250-40-40-1.5,Thermal Pad Green 40.00mm x 40.00mm Square,12.5,1.5,40.0,40.0,222.63,
,Thermal Pad,Wakefield Thermal,PL-1-1-1016,"Thermal Interface Products ulTIMiFlux Gap Pad, Silicone, 1mm Thickness, 1 W/m-K, 101.6x101.6mm, Grey",1.0,1.0,101.6,101.6,224.9,
,Thermal Pad,Taica North America Corporation,COH-1706-200-05,Thermal Pad Gray 200.00mm x 200.00mm Square Tacky - Both Sides,1.7,0.51,200.0,200.0,225.88,
,Thermal Pad,Aavid,SoftFlex-B016-20-01-0762-0762,"Thermal Interface Products SoftFlex Pad, 1.6 W/mK Conductivity, 2mm Thick, 1-Side Adhesive, 76.2x76.2mm",1.6,2.0,76.2,76.2,248.63,
,Thermal Pad,t-Global Technology,TG-A1780-30-30-0.5,Thermal Pad Gray 30.00mm x 30.00mm Square,17.8,0.5,30.0,30.0,252.2,
,Thermal Pad,t-Global Technology,TG-A6200F-100-100-0.5,Thermal Pad Blue 100.00mm x 100.00mm Square Tacky - One Side,5.0,0.5,100.0,100.0,273.98,
,Thermal Pad,Bergquist,SP2000-0.015-00-54,Thermal Pad White 19.05mm x 12.70mm Rectangular,3.5,0.38,19.05,12.7,317.2,
,Thermal Pad,Wakefield Thermal,PL-05-5-1016,"Thermal Interface Products ulTIMiFlux Gap Pad, Silicone, 0.5mm Thickness, 5 W/m-K, 101.6x101.6mm, Gold",5.0,0.5,101.6,101.6,318.83,
,Thermal Pad,Bergquist,GP1500-0.080-02-0404,Thermal Pad Black 101.60mm x 101.60mm Square Tacky - Both Sides,1.5,2.03,101.6,101.6,338.65,
,Thermal Pad,Wakefield Thermal,PL-05-3-1016-H,"Thermal Interface Products ulTIMiFlux Gap Pad, Silicone, 0.5mm Thick, 3 W/m-K, 101.6x101.6mm, Hyper Soft",3.0,0.5,101.6,101.6,351.98,
,Thermal Pad,Wakefield Thermal,PLF-1-1-76X127-40,"Thermal Interface Products ulTIMiFlux Gap Pad, Silicone-Free, 1mm Thickness, 1 W/m-K, 76x127mm, White",1.0,1.0,76.0,127.0,358.15,
,Thermal Pad,Wakefield Thermal,PL-1-3-76X127-30,"Thermal Interface Products ulTIMiFlux Gap Pad, Silicone, 1mm Thickness, 3 W/m-K, 76.2x127mm, Blue",3.0,1.0,76.2,127.0,369.2,
,Thermal Pad,t-Global Technology,TG-A6200-100-100-1.0,Thermal Pad Blue 100.00mm x 100.00mm Square Tacky - Both Sides,6.2,1.0,100.0,100.0,378.95,
,Thermal Pad,t-Global Technology,TG-A1780-40-40-0.5,Thermal Pad Gray 40.00mm x 40.00mm Square,17.8,0.5,40.0,40.0,384.48,
,Thermal Pad,Bergquist,GP1500-0.020-02-0404,Thermal Pad Black 101.60mm x 101.60mm Square Tacky - Both Sides,1.5,0.51,101.6,101.6,403.0,
,Thermal Pad,Wakefield Thermal,PL-1-3-1016-H,"Thermal Interface Products ulTIMiFlux Gap Pad, Silicone, 1mm Thickness, 3 W/m-K, 101.6x101.6mm, Hyper Soft",3.0,1.0,101.6,101.6,412.1,
,Thermal Pad,Wakefield Thermal,PL-2-1-1016,"Thermal Interface Products ulTIMiFlux Gap Pad, Silicone, 2mm Thickness, 1 W/m-K, 101.6x101.6mm, Grey",1.0,2.0,101.6,101.6,414.7,
,Thermal Pad,KYOCERA AVX,QB0603A25WYT,Thermal Pad 1.52mm x 0.76mm Rectangular,50.0,0.06,1.52,0.76,416.0,
,Thermal Pad,Wakefield Thermal,PL-05-5-1016-H,"Thermal Interface Products ulTIMiFlux Gap Pad, Silicone, 0.5mm Thick, 5 W/m-K, 101.6x101.6mm, Hyper Soft",5.0,0.5,101.6,101.6,436.48,
,Thermal Pad,Laird Technologies - Thermal Materials,A18197-05,Thermal Pad Gray 228.60mm x 228.60mm Square Tacky - Both Sides,5.3,0.12,228.6,228.6,442.33,
,Thermal Pad,Parker Chomerics,69-13-42348-T412,Thermal Pad Gray 28.00mm x 28.00mm Square Adhesive - Both Sides,1.4,0.23,28.0,28.0,468.98,
,Thermal Pad,t-Global Technology,T62-310-310-0.13,Thermal Pad Black 310.00mm x 310.00mm Square,20.0,0.13,310.0,310.0,489.78,
,Thermal Pad,Laird Technologies - Thermal Materials,A18197-08,Thermal Pad Gray 228.60mm x 228.60mm Square Tacky - Both Sides,5.3,0.2,228.6,228.6,500.83,
,Thermal Pad,t-Global Technology,TG-A6200-150-150-0.5,Thermal Pad Blue 150.00mm x 150.00mm Square Tacky - Both Sides,6.2,0.5,150.0,150.0,519.03,
,Thermal Pad,Laird Technologies - Thermal Materials,A18197-10,Thermal Pad Gray 228.60mm x 228.60mm Square Tacky - Both Sides,5.3,0.25,228.6,228.6,541.13,
