MPN,Manufacturer,Category,Description,Thermal_Conductivity,Thickness,Width,Length,Price_THB,source_file
A17634-09,Laird Technologies,Thermal Interface Products,Thermal Interface Products Tflex HD390 DC1 9.00x9.00 in,,,9.00 mm,9.00 mm,1767.03,mouser_tim_data.csv
A17633-08,Laird Technologies,Thermal Interface Products,Thermal Interface Products Tflex HD380 9x9,,,9 mm,9 mm,1327.3,mouser_tim_data.csv
GP1500S30-0.125-02-0816,Bergquist Company,Thermal Interface Products,"Thermal Interface Products GAP PAD, S-Class, 8""x16"" Sheet, 0.125"" Thickness, 2 Side Tack, TGP1300/1500S30",,,,,4423.9,mouser_tim_data.csv
SPA2000-0.020-00-1012,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Insulator, 10""x12"" Sheet, 0.020"" Thickness, Sil-Pad TSPA3000/A2000, IDH 2189298",,,,,9240.73,mouser_tim_data.csv
EYG-S091310,Panasonic,Thermal Interface Products,Thermal Interface Products PGS Graphite Sheet 90X115X0.1mm,,0.1 mm,90 mm,115 mm,1887.6,mouser_tim_data.csv
A16872-02,Laird Technologies,Thermal Interface Products,Thermal Interface Products TPUTTY 403 CARTRIDGE,,,,,2722.53,mouser_tim_data.csv
SPK10-0.006-AC-11.5/250,Bergquist Company,Thermal Interface Products,"Thermal Interface Products SIL PAD, 0.006"" Thickness, 1 Side Adhesive, 11.5""x250' Roll, TSPK1300/K-10",,,,,115032.13,mouser_tim_data.csv
EAPUS SARCON XR-Hl 16.5X7.5X2.0MM,ADLINK Technology,Thermal Interface Products,"Thermal Interface Products Pad,Type=XR-HL,Size=16.5x7.5x2.0mm,K=1.2W/mK,Color=Black",1.2 W/m-K,2.0 mm,16.5 mm,7.5 mm,92.5,mouser_tim_data.csv
EAPUS SARCON XR-Hl 20X10X2.5MM,ADLINK Technology,Thermal Interface Products,"Thermal Interface Products Pad,Type=XR-HL,Size=20x10x2.5mm,K=1.2W/mK,Color=Black",1.2 W/m-K,2.5 mm,20 mm,10 mm,92.5,mouser_tim_data.csv
A15421-26,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tgard 5000,A1 11.75"" x 30m",,,,,81403.4,mouser_tim_data.csv
A16205-03,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex HR630,DC1 18x18in,",,,18 mm,18 mm,4068.03,mouser_tim_data.csv
A16205-06,Laird Technologies,Thermal Interface Products,"Thermal Interface Products TFLEX HR660,DC1",,,,,7031.7,mouser_tim_data.csv
A18477-17,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex HD7170,PI  18.0x18.0in,",,,18.0 mm,18.0 mm,29549.98,mouser_tim_data.csv
2403290,Phoenix Contact,Thermal Interface Products,"Thermal Interface Products VL2 THERMAL PAD: 9MM 2.5"" SATA",,9 mm,,,3355.3,mouser_tim_data.csv
A14427-02,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 6190,DC1 18x18in,",,,18 mm,18 mm,33389.53,mouser_tim_data.csv
A15792-19,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex HR6190 18x18in,",,,18 mm,18 mm,19206.85,mouser_tim_data.csv
A14568-02,Laird Technologies,Thermal Interface Products,Thermal Interface Products Tflex 5140 18x18in,,,18 mm,18 mm,16707.28,mouser_tim_data.csv
A16205-07,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex HR670,DC1 18x18in,",,,18 mm,18 mm,7952.43,mouser_tim_data.csv
A17819-02,Laird Technologies,Thermal Interface Products,"Thermal Interface Products TFLEX HD90500,DC1",,,,,8172.78,mouser_tim_data.csv
A18477-09,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex HD790,PI  18.0x18.0in,",,,18.0 mm,18.0 mm,14322.75,mouser_tim_data.csv
A18478-10,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex HD7100,PI  9.0x9.0in,",,,9.0 mm,9.0 mm,4177.23,mouser_tim_data.csv
A18548-06,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex HD7.5,1.50,DC1 9x9IN,",,,9 mm,9 mm,7069.4,mouser_tim_data.csv
A18548-16,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex HD7.5,4.00,DC1 9x9IN,",,,9 mm,9 mm,16473.6,mouser_tim_data.csv
A18548-19,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex HD7.5,4.75,DC1 9x9IN,",,,9 mm,9 mm,19231.88,mouser_tim_data.csv
A18548-18,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex HD7.5,4.50,DC1 9x9IN,",,,9 mm,9 mm,18313.43,mouser_tim_data.csv
A17752-03,Laird Technologies,Thermal Interface Products,Thermal Interface Products Tflex HD90750 9x9IN,,,9 mm,9 mm,2874.95,mouser_tim_data.csv
GP1500S30-0.020-02-0816,Bergquist Company,Thermal Interface Products,"Thermal Interface Products GAP PAD, S-Class, 8""x16"" Sheet, 0.020"" Thickness, GAP PAD TGP1300/1500S30",,,,,1572.68,mouser_tim_data.csv
A14419-02,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 6110,DC1 18x18in,",,,18 mm,18 mm,19626.1,mouser_tim_data.csv
A15792-18,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex HR6180 18x18in,",,,18 mm,18 mm,18203.58,mouser_tim_data.csv
A18376-12,Laird Technologies,Thermal Interface Products,"Thermal Interface Products ST,BSR-C, 4.00mm 305x305mm 2 side paper",,4.00 mm,305 mm,305 mm,30270.18,mouser_tim_data.csv
A18547-11,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex HD7.5,2.75,DC1 18x18IN,",,,18 mm,18 mm,48588.48,mouser_tim_data.csv
A18547-17,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex HD7.5,4.25,DC1 18x18IN,",,,18 mm,18 mm,71886.1,mouser_tim_data.csv
A18477-11,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex HD7110,PI  18.0x18.0in,",,,18.0 mm,18.0 mm,20350.85,mouser_tim_data.csv
A18477-06,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex HD760,PI  18.0x18.0in,",,,18.0 mm,18.0 mm,9410.05,mouser_tim_data.csv
A18477-19,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex HD7190,PI  18.0x18.0in,",,,18.0 mm,18.0 mm,38573.93,mouser_tim_data.csv
A18477-10,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex HD7100,PI  18.0x18.0in,",,,18.0 mm,18.0 mm,16381.3,mouser_tim_data.csv
A14426-02,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 6180,DC1 18x18in,",,,18 mm,18 mm,31648.18,mouser_tim_data.csv
A18478-13,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex HD7130,PI  9.0x9.0in,",,,9.0 mm,9.0 mm,5828.55,mouser_tim_data.csv
A18477-15,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex HD7150,PI  18.0x18.0in,",,,18.0 mm,18.0 mm,26528.45,mouser_tim_data.csv
A18500-03,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tgard 212B,A0 17x17in",,,17 mm,17 mm,5694.98,mouser_tim_data.csv
A18547-14,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex HD7.5,3.50,DC1 18x18IN,",,,18 mm,18 mm,60243.63,mouser_tim_data.csv
A18548-10,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex HD7.5,2.50,DC1 9x9IN,",,,9 mm,9 mm,11005.8,mouser_tim_data.csv
A18547-04,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex HD7.5,1.00,DC1 18x18IN,",,,18 mm,18 mm,21660.93,mouser_tim_data.csv
SPK10-0.006-00-11.5/250,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Insulator, 0.006"" Thickness, 11.5""x250' Roll, SIL PAD TSPK1300/K-10, IDH 2188877",,,,,110050.2,mouser_tim_data.csv
A15995-10,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 7100,DC1 18.00x18.00in,",,,18.00 mm,18.00 mm,30287.4,mouser_tim_data.csv
A16006-13,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 7130 18.00x18.00in,",,,18.00 mm,18.00 mm,35987.25,mouser_tim_data.csv
A15995-04,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 740,DC1 18.00x18.00in,",,,18.00 mm,18.00 mm,15585.05,mouser_tim_data.csv
A15995-06,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 760,DC1 18.00x18.00in,",,,18.00 mm,18.00 mm,21443.5,mouser_tim_data.csv
A16006-17,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 7170 18.00x18.00in,",,,18.00 mm,18.00 mm,45274.78,mouser_tim_data.csv
A15995-15,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 7150,DC1 18.00x18.00in,",,,18.00 mm,18.00 mm,42559.73,mouser_tim_data.csv
A16006-11,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 7110 18.00x18.00in,",,,18.00 mm,18.00 mm,31288.08,mouser_tim_data.csv
A15995-16,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 7160,DC1 18.00x18.00in,",,,18.00 mm,18.00 mm,49400.65,mouser_tim_data.csv
a14949-10,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 5100,DC1 18x18in",,,18 mm,18 mm,12697.75,mouser_tim_data.csv
A15995-12,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 7120,DC1 18.00x18.00in,",,,18.00 mm,18.00 mm,35226.43,mouser_tim_data.csv
A16006-18,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 7180 18.00x18.00in,",,,18.00 mm,18.00 mm,47577.4,mouser_tim_data.csv
A16006-12,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 7120 18.00x18.00in,",,,18.00 mm,18.00 mm,33642.7,mouser_tim_data.csv
A17679-07,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 51750,DC1 9x9IN",,,9 mm,9 mm,2662.73,mouser_tim_data.csv
A15995-03,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 730,DC1 18.00x18.00in,",,,18.00 mm,18.00 mm,12521.93,mouser_tim_data.csv
SSRHP07,Schneider Electric,Relay Sockets & Fixings,Relay Sockets & Fixings SSP HEATSINK THERMAL RATING 0.7 C W,,,,,1163.83,mouser_tim_data.csv
EAPUS SARCON XR-Hl 35X11X2.5MM,ADLINK Technology,Thermal Interface Products,"Thermal Interface Products Pad,Type=XR-HL,Size=35x11x2.5mm,K=1.2W/mK,Color=Black",1.2 W/m-K,2.5 mm,35 mm,11 mm,92.5,mouser_tim_data.csv
A15995-19,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 7190,DC1 18.00x18.00in,",,,18.00 mm,18.00 mm,52225.23,mouser_tim_data.csv
A15995-20,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 7200,DC1 18.00x18.00in,",,,18.00 mm,18.00 mm,60684.0,mouser_tim_data.csv
