tim_id,datasheet,mfr_part_number,mfr,price_thb,product_type,dimensions_mm,category,width_mm,length_mm,weight_g,useable_temp_range_c,thermal_conductivity_wmk,shape,outline_mm,thickness_mm,max_temp_c,min_temp_c
,-,2213720,Bergquist,10649.49333,"Liquid Gap Filler, 2 Part",400cc Cartridge,,,,,-76°F ~ 392°F (-60°C ~ 200°C),2.00,,,,,
,https://datasheets.tdx.henkel.com/LOCTITE-STYCAST-2850FT-FR-CAT-24LV-en_GL.pdf,1188128,LOCTITE,10938.0375,"Epoxy, 2 Part",-,,,,,-,1.23,,,,,
,https://www.parker.com/content/dam/Parker-com/Literature/Chomerics/Parker%20Chomerics%20THERM-A-GAP%20GEL%2060HF%20Datasheet%20CHODS1051.pdf,65-00-GEL60HF-0300,Parker Chomerics,11202.1815,Silicone Gel,300cc Cartridge,,,,,-67°F ~ 392°F (-55°C ~ 200°C),6.2,,,,,
,https://www.tglobaltechnology.com/wp-content/uploads/2023/08/TG-AS606-Series_UK.pdf,S606-1000,t-Global Technology,12227.15,Silicone Grease,1 kg Container,,,,,-40°F ~ 356°F (-40°C ~ 180°C),3.60,,,,,
,-,2190652,Bergquist,12415.975,"Liquid Gap Filler, 2 Part",400cc Cartridge,,,,,-76°F ~ 392°F (-60°C ~ 200°C),1.80,,,,,
,https://www.parker.com/content/dam/Parker-com/Literature/Chomerics/datasheets/Parker-Chomerics-THERM-A-GAP-GEL-75VT-Datasheet-CHODS1112.pdf,65-00-GEL75VT-0300,Parker Chomerics,12553.2875,Silicone Gel,300cc Cartridge,,,,,-58°F ~ 392°F (-50°C ~ 200°C),7.50,,,,,
,https://mgchemicals.com/downloads/tds/tds-860.pdf,860-3.78L,MG Chemicals,12881.246,Silicone Compound,3.78 L Pail,,,,,-40°F ~ 392°F (-40°C ~ 200°C),0.70,,,,,
,https://www.laird.com/sites/default/files/2024-06/THR-DS-TflexTM%20CR607.pdf,A17262-03,Laird Technologies - Thermal Materials,13588.52083,Silicone Gap Filler,400cc Cartridge,,,,,-67°F ~ 392°F (-55°C ~ 200°C),6.40,,,,,
,https://www.mgchemicals.com/downloads/tds/tds-8617.pdf,8617-1G,MG Chemicals,13650.976,Non-Silicone Grease,1 gal Pail,,,,,-90°F ~ 329°F (-68°C ~ 165°C),1.00,,,,,
,-,2190466,Bergquist,13852.315,"Liquid Gap Filler, 2 Part",200cc Cartridge,,,,,-76°F ~ 392°F (-60°C ~ 200°C),3.60,,,,,
,https://datasheets.tdx.henkel.com/LOCTITE-STYCAST-2850-MT-CAT-24LV-en_GL.pdf,1188137,LOCTITE,13923.325,"Epoxy, 2 Part",18 lb Container,,,,,-85°F ~ 221°F (-65°C ~ 105°C),1.60,,,,,
,https://www.laird.com/document/datasheet/tputty-607-datasheet,A17251-04,Laird Technologies - Thermal Materials,16476.24125,Liquid Gap Filler,600cc Cartridge,,,,,-40°F ~ 392°F (-40°C ~ 200°C),6.40,,,,,
,https://datasheets.tdx.henkel.com/LOCTITE-ABLESTIK-285-CAT-9-en_GL.pdf,1188112,LOCTITE,16589.1375,"Epoxy, 2 Part",-,,,,,-67°F ~ 311°F (-55°C ~ 155°C),1.44,,,,,
,-,2197935,Bergquist,16618.065,"Liquid Gap Filler, 2 Part",400cc Cartridge,,,,,-76°F ~ 392°F (-60°C ~ 200°C),3.50,,,,,
,https://www.laird.com/sites/default/files/2018-11/Tputty%20502%20Data%20Sheet%2012-6-17.pdf,A10548-6,Laird Technologies - Thermal Materials,16978,Silicone Putty,500cc Jar,,,,,-49°F ~ 392°F (-45°C ~ 200°C),3.00,,,,,
,https://datasheets.tdx.henkel.com/LOCTITE-STYCAST-2762FT-CAT-14-en_GL.pdf,1188100,LOCTITE,17175.195,"Epoxy, 2 Part (Order Catalyst Separately)",18 lb Container,,,,,-4°F ~ 446°F (-20°C ~ 230°C),1.34,,,,,
,https://www.laird.com/document/pmbu-doc-000011791,A16001-00,Laird Technologies - Thermal Materials,17410.305,Non-Silicone Grease,1 kg Can,,,,,-40°F ~ 257°F (-40°C ~ 125°C),5.40,,,,,
,https://www.tglobaltechnology.com/uploads/files/tds/TG-LH-FBPE-80.pdf,TG-LH-FBPE-80-15,t-Global Technology,19074.9,"Potting Compound, 2 Part",15 kg Container,,,,,-,1.10,,,,,
,https://www.laird.com/sites/default/files/2025-07/MKT-DOC-1592%20Tgrease%202500%20Data%20Sheet%2006272025.pdf,A14259-02,Laird Technologies - Thermal Materials,19162.92167,Non-Silicone Grease,3 kg Container,,,,,-67°F ~ 302°F (-50°C ~ 150°C),3.80,,,,,
,https://www.laird.com/sites/default/files/2025-05/THR-DS-Tflex%20CR550_202505.pdf,A18835-04,Laird Technologies - Thermal Materials,19224.83333,Liquid Gap Filler,1200cc Cartridge,,,,,-40°F ~ 392°F (-40°C ~ 200°C),5.40,,,,,
,http://tds.loctite.com/tds5/Studio/ShowPDF/GAP%20FILLER%20TGF%203000SF-EN?pid=GAP%20FILLER%20TGF%203000SF&format=MTR&subformat=HYS&language=EN&plant=WERCS,2750519,Bergquist,19717.915,"Liquid Gap Filler, 2 Part",1200cc Cartridge,,,,,-40°F ~ 212°F (-40°C ~ 100°C),3.00,,,,,
,-,2198652,Bergquist,20813.65,"Epoxy, 2 Part",400cc Cartridge,,,,,-40°F ~ 257°F (-40°C ~ 125°C),1.80,,,,,
,https://www.mgchemicals.com/downloads/tds/tds-8616.pdf,8616-1G,MG Chemicals,20846.346,Non-Silicone Grease,1 gal Pail,,,,,-90°F ~ 329°F (-68°C ~ 165°C),1.78,,,,,
,https://www.laird.com/sites/default/files/TgreaseTM-1500-datasheet.pdf,A14855-01,Laird Technologies - Thermal Materials,21990.475,Silicone Compound,7 kg Container,,,,,257°F (125°C),1.20,,,,,
,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-FILLER-TGF-4500CVO-en_GL.pdf,2711509,Bergquist,26893.1,"Liquid Gap Filler, 2 Part",1200cc Cartridge,,,,,-76°F ~ 392°F (-60°C ~ 200°C),4.50,,,,,
,-,2297932,Bergquist,28278.58,"Liquid Gap Filler, 2 Part",1200cc Cartridge,,,,,-76°F ~ 392°F (-60°C ~ 200°C),1.40,,,,,
,-,UVLED82-3.78L,MG Chemicals,29283.475,UV LED Adhesive,3.78 L Can,,,,,-112°F ~ 275°F (-80°C ~ 135°C),0.20,,,,,
,-,2056395,LOCTITE,32767.8,"Epoxy, 2 Part (Order Catalyst Separately)",5 gal Container,,,,,-67°F ~ 311°F (-55°C ~ 155°C),2.78,,,,,
,-,2197596,Bergquist,40378.98,"Liquid Gap Filler, 2 Part",1200cc Cartridge,,,,,-76°F ~ 392°F (-60°C ~ 200°C),3.50,,,,,
,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6319/MG%20Industry%20Solutions.pdf,8617A-300ML,MG Chemicals,Obsolete,Non-Silicone Grease,300 ml Tube,,,,,-,3.00,,,,,
,https://mgchemicals.com/downloads/tds/tds-8618.pdf,8618-300ML,MG Chemicals,Obsolete,Non-Silicone Grease,300 ml Syringe,,,,,-,6.00,,,,,
,https://mgchemicals.com/downloads/tds/tds-8618.pdf,8618-10ML,MG Chemicals,Obsolete,Non-Silicone Grease,10 ml Syringe,,,,,-,6.00,,,,,
,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6319/MG%20Industry%20Solutions.pdf,8617A-10ML,MG Chemicals,Obsolete,Non-Silicone Grease,10 ml Tube,,,,,-,3.00,,,,,
,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6319/MG%20Industry%20Solutions.pdf,8617A-3ML,MG Chemicals,Obsolete,Non-Silicone Grease,3 ml Tube,,,,,-58°F ~ 257°F (-50°C ~ 125°C),3.00,,,,,
,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6319/MG%20Industry%20Solutions.pdf,8617A-85ML,MG Chemicals,Obsolete,Non-Silicone Grease,85 ml Tube,,,,,-,3.00,,,,,
,https://mgchemicals.com/downloads/tds/tds-8327GL5.pdf,8327GL5-180ML,MG Chemicals,Obsolete,Non-Silicone Gel,180 ml Cartridge,,,,,-67°F ~ 302°F (-55°C ~ 150°C),5.10,,,,,
,https://mgchemicals.com/downloads/tds/tds-8327GL6.pdf,8327GL6-180ML,MG Chemicals,Obsolete,Non-Silicone Gel,180 ml Cartridge,,,,,-40°F ~ 248°F (-40°C ~ 120°C),6.00,,,,,
,https://mgchemicals.com/downloads/tds/tds-8327GL5.pdf,8327GL5-30ML,MG Chemicals,Obsolete,Non-Silicone Gel,30 ml Cartridge,,,,,-67°F ~ 302°F (-55°C ~ 150°C),5.10,,,,,
,https://mgchemicals.com/downloads/tds/tds-8327GL3.pdf,8327GL3-30ML,MG Chemicals,Obsolete,Non-Silicone Gel,30 ml Cartridge,,,,,-40°F ~ 248°F (-40°C ~ 120°C),3.50,,,,,
,-,V6515,Assmann WSW Components,Obsolete,"Thermal Compound, Thermal Grease",500 gram Container,,,,,-40°F ~ 302°F (-40°C ~ 150°C),0.50,,,,,
,https://mgchemicals.com/downloads/tds/tds-8327GL3.pdf,8327GL3-25ML,MG Chemicals,Obsolete,Non-Silicone Gel,25 ml Jar,,,,,-40°F ~ 248°F (-40°C ~ 120°C),3.50,,,,,
,https://mgchemicals.com/downloads/tds/tds-8327GL5.pdf,8327GL5-25ML,MG Chemicals,Obsolete,Non-Silicone Gel,25 ml Jar,,,,,-67°F ~ 302°F (-55°C ~ 150°C),5.10,,,,,
,https://mgchemicals.com/downloads/tds/tds-8327GL6.pdf,8327GL6-25ML,MG Chemicals,Obsolete,Non-Silicone Gel,25 ml Jar,,,,,-40°F ~ 248°F (-40°C ~ 120°C),6.00,,,,,
,https://datasheets.tdx.henkel.com/BERGQUIST-SIL-PAD-TSP-K900-en_GL.pdf,SPK4-0.006-00-58,Bergquist,4.55,"Pad, Sheet",,,,,,,0.9,Rectangular,19.05mm x 12.70mm,"0.0060"" (0.152mm)",,
,https://datasheets.tdx.henkel.com/BERGQUIST-SIL-PAD-TSP-900-en_GL.pdf,SP400-0.009-00-58,Bergquist,6.83,"Pad, Sheet",,,,,,,0.9,Rectangular,19.05mm x 12.70mm,"0.0090"" (0.229mm)",,
,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/520/Sil-Pad_Selection_Guide.pdf,SP400-0.009-00-54,Bergquist,6.83,"Pad, Sheet",,,,,,,0.9,Rectangular,19.05mm x 12.70mm,"0.0090"" (0.229mm)",,
,https://datasheets.tdx.henkel.com/BERGQUIST-SIL-PAD-TSP-900-en_GL.pdf,SP400-0.007-00-54,Bergquist,7.15,"Pad, Sheet",,,,,,,0.9,Rectangular,19.05mm x 12.70mm,"0.0070"" (0.178mm)",,
,https://dm.henkel-dam.com/is/content/henkel/lt-8116-brochure-thermal-interface-materials-selection-guide-1,SP400-0.007-AC-58,Bergquist,7.48,"Pad, Sheet",,,,,,,0.9,Rectangular,19.05mm x 12.70mm,"0.0070"" (0.178mm)",,
,https://datasheets.tdx.henkel.com/BERGQUIST-SIL-PAD-TSP-900-en_GL.pdf,SP400-0.007-00-104,Bergquist,8.13,"Pad, Sheet",,,,,,,0.9,Rectangular,25.40mm x 19.05mm,"0.0070"" (0.178mm)",,
,https://datasheets.tdx.henkel.com/BERGQUIST-SIL-PAD-TSP-K900-en_GL.pdf,SPK4-0.006-00-104,Bergquist,8.78,"Pad, Sheet",,,,,,,0.9,Rectangular,25.40mm x 19.05mm,"0.0060"" (0.152mm)",,
,https://datasheets.tdx.henkel.com/BERGQUIST-SIL-PAD-TSP-1600S-en_GL.pdf,SP900S-0.009-00-54,Bergquist,9.43,"Pad, Sheet",,,,,,,1.6,Rectangular,19.05mm x 12.70mm,"0.0090"" (0.229mm)",,
,https://datasheets.tdx.henkel.com/BERGQUIST-SIL-PAD-TSP-1600S-en_GL.pdf,SP900S-0.009-AC-54,Bergquist,9.43,"Pad, Sheet",,,,,,,1.6,Rectangular,19.05mm x 12.70mm,"0.0090"" (0.229mm)",,
,https://dm.henkel-dam.com/is/content/henkel/lt-8116-brochure-thermal-interface-materials-selection-guide-1,SP400-0.009-00-51,Bergquist,9.75,"Pad, Sheet",,,,,,,0.9,Rectangular,17.45mm x 14.27mm,"0.0090"" (0.229mm)",,
,https://datasheets.tdx.henkel.com/BERGQUIST-HI-FLOW-THF-800AC-en_GL.pdf,HF115AC-0.0055-AC-54,Bergquist,10.73,"Pad, Sheet",,,,,,,0.8,Rectangular,19.05mm x 12.70mm,"0.0055"" (0.140mm)",,
,https://datasheets.tdx.henkel.com/BERGQUIST-SIL-PAD-TSP-1200-en_GL.pdf,1009-54,Bergquist,10.73,"Pad, Sheet",,,,,,,1.2,Rectangular,19.05mm x 12.70mm,"0.0090"" (0.229mm)",,
,https://datasheets.tdx.henkel.com/BERGQUIST-SIL-PAD-TSP-K1300-en_GL.pdf,SPK10-0.006-00-54,Bergquist,11.38,"Pad, Sheet",,,,,,,1.3,Rectangular,19.05mm x 12.70mm,"0.0060"" (0.152mm)",,
,https://datasheets.tdx.henkel.com/BERGQUIST-SIL-PAD-TSP-1600S-en_GL.pdf,SP900S-0.009-00-104,Bergquist,11.7,"Pad, Sheet",,,,,,,1.6,Rectangular,25.40mm x 19.05mm,"0.0090"" (0.229mm)",,
,http://tds.loctite.com/tds5/Studio/ShowPDF/BERGQUIST%20SIL%20PAD%20TSP%201600S-EN?pid=BERGQUIST%20SIL%20PAD%20TSP%201600S&format=MTR&subformat=HYS&language=EN&plant=WERCS,SP900S-0.009-AC-58,Bergquist,12.35,"Pad, Sheet",,,,,,,1.6,Rectangular,19.05mm x 12.70mm,"0.0090"" (0.229mm)",,
,https://info.boydcorp.com/hubfs/Thermal/Air-Cooling/Boyd-Board-Level-Heatsinks-Catalog.pdf,53-77-9G,"Boyd Laconia, LLC",18.85,"Pad, Sheet",,,,,,,0.9,Rectangular,18.42mm x 13.21mm,"0.0060"" (0.152mm)",,
,https://datasheets.tdx.henkel.com/BERGQUIST-SIL-PAD-TSP-K1300-en_GL.pdf,SPK10-0.006-00-58,Bergquist,21.78,"Pad, Sheet",,,,,,,1.3,Rectangular,19.05mm x 12.70mm,"0.0060"" (0.152mm)",,
,https://dm.henkel-dam.com/is/content/henkel/lt-8116-brochure-thermal-interface-materials-selection-guide-1,Q3-0.005-00-54,Bergquist,22.1,"Pad, Sheet",,,,,,,2.0,Rectangular,19.05mm x 12.70mm,"0.0050"" (0.127mm)",,
,https://datasheets.tdx.henkel.com/BERGQUIST-SIL-PAD-TSP-K1300-en_GL.pdf,SPK10-0.006-00-90,Bergquist,23.4,"Pad, Sheet",,,,,,,1.3,Rectangular,21.84mm x 18.80mm,"0.0060"" (0.152mm)",,
,https://wakefieldthermal.com/content/data_sheets/Thermal%20Interface%20Materials.pdf,175-6-220P,Wakefield Thermal Solutions,23.73,"Pad, Sheet",,,,,,,0.5,Rectangular,18.00mm x 12.70mm,"0.0060"" (0.152mm)",,
,https://datasheets.tdx.henkel.com/BERGQUIST-SIL-PAD-TSP-K1300-en_GL.pdf,SPK10-0.006-00-104,Bergquist,24.38,"Pad, Sheet",,,,,,,1.3,Rectangular,25.40mm x 19.05mm,"0.0060"" (0.152mm)",,
,https://info.boydcorp.com/hubfs/Thermal/Conduction-Cooling/Boyd-Thermal-Interface-Materials-Catalog.pdf,53-77-4G,"Boyd Laconia, LLC",25.35,"Pad, Sheet",,,,,,,0.9,Rectangular,19.05mm x 12.70mm,"0.0060"" (0.152mm)",,
,https://datasheets.tdx.henkel.com/BERGQUIST-HI-FLOW-THF-800AC-en_GL.pdf,HF115AC-0.0055-AC-90,Bergquist,26.33,"Pad, Sheet",,,,,,,0.8,Rectangular,21.84mm x 18.79mm,"0.0055"" (0.140mm)",,
,https://info.boydcorp.com/hubfs/Thermal/Conduction-Cooling/Boyd-Thermal-Interface-Materials-Catalog.pdf,53-77-4ACG,"Boyd Laconia, LLC",27.3,"Pad, Sheet",,,,,,,0.9,Rectangular,19.05mm x 12.70mm,"0.0060"" (0.152mm)",,
,https://wakefieldthermal.com/content/data_sheets/Thermal%20Interface%20Materials.pdf,173-7-240A,Wakefield Thermal Solutions,29.58,"Pad, Sheet",,,,,,,1.2,Rectangular,19.10mm x 12.70mm,"0.0070"" (0.178mm)",,
,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/520/Sil-Pad_Selection_Guide.pdf,SP400-0.009-00-09,Bergquist,29.58,"Pad, Sheet",,,,,,,0.9,Round,9.14mm Dia,"0.0090"" (0.229mm)",,
,https://www.tglobaltechnology.com/wp-content/uploads/2023/08/TG-A3500_UK.pdf,TG-A3500-25-25-3.0,t-Global Technology,33.48,"Pad, Sheet",,,,,,,3.5,Square,25.00mm x 25.00mm,"0.118"" (3.00mm)",,
,https://info.boydcorp.com/hubfs/Thermal/Conduction-Cooling/Boyd-Thermal-Interface-Materials-Catalog.pdf,53-77-9ACG,"Boyd Laconia, LLC",33.8,"Pad, Sheet",,,,,,,0.9,Rectangular,18.42mm x 13.21mm,"0.0060"" (0.152mm)",,
,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2578/Sil-Pad%20600.pdf,SP600-104,Bergquist,42.25,"Pad, Sheet",,,,,,,1.0,Rectangular,25.40mm x 19.05mm,"0.0090"" (0.229mm)",,
,http://tds.loctite.com/tds5/Studio/ShowPDF/BERGQUIST%20SIL%20PAD%20TSP%203500-EN?pid=BERGQUIST%20SIL%20PAD%20TSP%203500&format=MTR&subformat=HYS&language=EN&plant=WERCS,SP2000-0.015-00-104,Bergquist,47.45,"Pad, Sheet",,,,,,,3.5,Rectangular,25.40mm x 19.05mm,"0.0150"" (0.381mm)",,
,https://www.sensata.com/sites/default/files/media/documents/2018-04-04/ourproducts_thermal_pads_hsp2_hsp5_hsp6_datasheet.pdf,HSP-2,Sensata-Crydom,65.98,"Pad, Sheet",,,,,,,2.0,Rectangular,57.15mm x 44.45mm,"0.0050"" (0.127mm)",,
,https://datasheets.tdx.henkel.com/BERGQUIST-SIL-PAD-TSP-3500-en_GL.pdf,SP2000-0.015-00-58,Bergquist,124.48,"Pad, Sheet",,,,,,,3.5,Rectangular,19.05mm x 12.70mm,"0.0150"" (0.381mm)",,
,https://www.tglobaltechnology.com/wp-content/uploads/2023/08/TG-A3500_UK.pdf,TG-A3500-40-40-5.0,t-Global Technology,125.13,"Pad, Sheet",,,,,,,3.5,Square,40.00mm x 40.00mm,"0.197"" (5.00mm)",,
,https://www.tglobaltechnology.com/wp-content/uploads/2023/08/TG-A6200F_UK.pdf,TG-A6200F-100-100-0.5,t-Global Technology,273.98,"Pad, Sheet",,,,,,,5.0,Square,100.00mm x 100.00mm,"0.0197"" (0.500mm)",,
,https://datasheets.tdx.henkel.com/BERGQUIST-SIL-PAD-TSP-3500-en_GL.pdf,SP2000-0.015-00-54,Bergquist,317.2,"Pad, Sheet",,,,,,,3.5,Rectangular,19.05mm x 12.70mm,"0.0150"" (0.381mm)",,
,https://www.tglobaltechnology.com/wp-content/uploads/2023/08/TG-A6200_UK.pdf,TG-A6200-100-100-1.0,t-Global Technology,378.95,"Pad, Sheet",,,,,,,6.2,Square,100.00mm x 100.00mm,"0.0394"" (1.000mm)",,
,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-PAD-TGP-1500-en_GL.pdf,GP1500-0.020-02-0404,Bergquist,403,"Pad, Sheet",,,,,,,1.5,Square,101.60mm x 101.60mm,"0.0200"" (0.508mm)",,
,https://datasheets.tdx.henkel.com/BERGQUIST-SIL-PAD-TSP-900-en_GL.pdf,SP400-0.007-AC-1212,Bergquist,578.5,"Pad, Sheet",,,,,,,0.9,Square,304.80mm x 304.80mm,"0.0070"" (0.178mm)",,
,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-PAD-TGP-1500-en_GL.pdf,GP1500-0.040-02-0404,Bergquist,663.98,"Pad, Sheet",,,,,,,1.5,Square,101.60mm x 101.60mm,"0.0400"" (1.016mm)",,
,https://datasheets.tdx.henkel.com/BERGQUIST-SIL-PAD-TSP-K900-en_GL.pdf,2191342,Bergquist,728.98,"Pad, Sheet",,,,,,,0.9,Rectangular,304.80mm x 292.10mm,"0.0060"" (0.152mm)",,
,https://www.tglobaltechnology.com/wp-content/uploads/2023/08/TG-A6200_UK.pdf,TG-A6200-100-100-2.5,t-Global Technology,764.4,"Pad, Sheet",,,,,,,6.2,Square,100.00mm x 100.00mm,"0.0984"" (2.500mm)",,
,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-PAD-TGP-1500-en_GL.pdf,GP1500-0.040-02-0816,Bergquist,790.08,"Pad, Sheet",,,,,,,1.5,Rectangular,406.40mm x 203.20mm,"0.0400"" (1.016mm)",,
,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-PAD-TGP-1500R-en_GL.pdf,GP1500R-0.020-02-0816,Bergquist,966.88,"Pad, Sheet",,,,,,,1.5,Rectangular,406.40mm x 203.20mm,"0.0200"" (0.508mm)",,
