MPN,Manufacturer,Category,Description,Thermal_Conductivity,Thickness,Width,Length,Price_THB
MAX98300ETA+T,Analog Devices Inc./Maxim Integrated,Integrated Circuits (ICs),Amplifier IC 1-Channel (Mono) Class D 8-TDFN-EP (2x2),,,2 mm,2 mm,64.89
HSP-2,Sensata-Crydom,"Fans, Blowers, Thermal Management",Thermal Pad Black 57.15mm x 44.45mm Rectangular Adhesive - One Side,2.0W/m-K,"0.0050"" (0.127mm)",,,68.04
7109D/TRG,"Boyd Laconia, LLC","Fans, Blowers, Thermal Management",Heat Sink TO-263 (D²Pak) Copper 2.0W @ 30°C Top Mount,,"0.450"" (11.43mm)","1.000"" (25.40mm)","0.763"" (19.38mm)",68.67
407150015050,Würth Elektronik,"Fans, Blowers, Thermal Management",Thermal Pad Black 15.00mm x 15.00mm Square Adhesive - Both Sides,400W/m-K,"0.197"" (5.00mm)",,,70.56
"TFA9879HN/N1,157",NXP USA Inc.,Integrated Circuits (ICs),Amplifier IC 1-Channel (Mono) Class D 24-HVQFN (4x4),,,4 mm,4 mm,74.03
EMC2104-BP-TR,Microchip Technology,Integrated Circuits (ICs),"Fan Control, Temp Monitor Internal and External Sensor 2-Wire SMBus Output 20-QFN (4x4)",,,4 mm,4 mm,74.03
4170G,"Boyd Laconia, LLC","Fans, Blowers, Thermal Management",Thermal Pad 19.30mm x 13.97mm Rectangular,-,"0.0618"" (1.570mm)",,,74.66
TG-A1250-20-20-2.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Green 20.00mm x 20.00mm Square,12.5W/m-K,"0.0790"" (2.000mm)",,,76.23
TPS2590RSAR,Texas Instruments,Integrated Circuits (ICs),Hot Swap Controller 1 Channel General Purpose 16-QFN (4x4),,,4 mm,4 mm,77.18
TPS2421-2DDAR,Texas Instruments,Integrated Circuits (ICs),Hot Swap Controller 1 Channel General Purpose 8-SO PowerPad,,,,,77.49
MAX98307ETE+T,Analog Devices Inc./Maxim Integrated,Integrated Circuits (ICs),Amplifier IC 1-Channel (Mono) Class DG 16-TQFN (3x3),,,3 mm,3 mm,77.81
407150015200,Würth Elektronik,"Fans, Blowers, Thermal Management",Thermal Pad Black 15.00mm x 15.00mm Square Adhesive - Both Sides,400W/m-K,"0.787"" (20.00mm)",,,79.38
QB0805A40WYT,KYOCERA AVX,"Fans, Blowers, Thermal Management",Thermal Pad 2.03mm x 1.27mm Rectangular,"100W/m-K, 156W/m-K","0.0402"" (1.020mm)",,,80.01
QB0805B40WYT,KYOCERA AVX,"Fans, Blowers, Thermal Management",Thermal Pad 2.03mm x 1.27mm Rectangular,"100W/m-K, 156W/m-K","0.0402"" (1.020mm)",,,80.01
TPS2421-1DDAR,Texas Instruments,Integrated Circuits (ICs),Hot Swap Controller 1 Channel General Purpose 8-SO PowerPad,,,,,81.27
TG-A6200-40-40-1.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Blue 40.00mm x 40.00mm Square Tacky - Both Sides,6.2W/m-K,"0.0394"" (1.000mm)",,,84.42
MAX98306ETD+T,Analog Devices Inc./Maxim Integrated,Integrated Circuits (ICs),Amplifier IC 2-Channel (Stereo) Class D 14-TDFN (3x3),,,3 mm,3 mm,86.0
TPS25910RSAR,Texas Instruments,Integrated Circuits (ICs),Hot Swap Controller 1 Channel General Purpose 16-QFN (4x4),,,4 mm,4 mm,87.26
TPS2420RSAR,Texas Instruments,Integrated Circuits (ICs),Hot Swap Controller 1 Channel General Purpose 16-QFN (4x4),,,4 mm,4 mm,87.26
60-11-5791-1671,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Pad White 17.45mm x 14.28mm Rectangular,2.6W/m-K,"0.0150"" (0.381mm)",,,90.41
60-11-8302-1671,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Pad White 18.03mm x 12.70mm Rectangular,2.6W/m-K,"0.0150"" (0.381mm)",,,91.67
HSP-1,Sensata-Crydom,"Fans, Blowers, Thermal Management",Thermal Pad White 57.15mm x 44.45mm Rectangular,1.0W/m-K,"0.0039"" (0.100mm)",,,93.24
MAX98357AETE+T,Analog Devices Inc./Maxim Integrated,Integrated Circuits (ICs),Amplifier IC 1-Channel (Mono) Class D 16-TQFN (3x3),,,3 mm,3 mm,114.03
MAX9722AETE+T,Analog Devices Inc./Maxim Integrated,Integrated Circuits (ICs),"Amplifier IC Headphones, 2-Channel (Stereo) Class AB 16-TQFN (3x3)",,,3 mm,3 mm,119.07
SP2000-0.015-00-58,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad White 19.05mm x 12.70mm Rectangular,3.5W/m-K,"0.0150"" (0.381mm)",,,120.65
MP7770GF-Z,Monolithic Power Systems Inc.,Integrated Circuits (ICs),Amplifier IC 1-Channel (Mono) or 2-Channel (Stereo) Class D 28-TSSOP-EP,,,,,121.28
TG-A3500-40-40-5.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Yellow 40.00mm x 40.00mm Square Tacky - Both Sides,3.5W/m-K,"0.197"" (5.00mm)",,,121.28
60-12-20264-TW10,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Pad Black 50.80mm x 12.70mm Rectangular Adhesive - Both Sides,-,"0.0130"" (0.330mm)",,,128.52
MAX9768ETG+T,Analog Devices Inc./Maxim Integrated,Integrated Circuits (ICs),Amplifier IC 1-Channel (Mono) Class D 24-TQFN (4x4),,,4 mm,4 mm,136.08
MAX9768BETG+T,Analog Devices Inc./Maxim Integrated,Integrated Circuits (ICs),Amplifier IC 1-Channel (Mono) Class D 24-TQFN (4x4),,,4 mm,4 mm,136.08
MAX9737ETG+T,Analog Devices Inc./Maxim Integrated,Integrated Circuits (ICs),Amplifier IC 1-Channel (Mono) Class D 24-TQFN (4x4),,,4 mm,4 mm,136.71
MAX9737ETG+,Analog Devices Inc./Maxim Integrated,Integrated Circuits (ICs),Amplifier IC 1-Channel (Mono) Class D 24-TQFN (4x4),,,4 mm,4 mm,136.71
TPA1517DWPR,Texas Instruments,Integrated Circuits (ICs),Amplifier IC 2-Channel (Stereo) Class AB 20-HSOIC,,,,,143.96
TG-A1250-40-40-1.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Green 40.00mm x 40.00mm Square,12.5W/m-K,"0.0394"" (1.000mm)",,,148.05
T62-1-150-150-0.16,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Black 150.00mm x 150.00mm Square Adhesive - One Side,15W/m-K,"0.0063"" (0.160mm)",,,150.57
MAX14611ETD+T,Analog Devices Inc./Maxim Integrated,Integrated Circuits (ICs),Voltage Level Translator Bidirectional 1 Circuit 4 Channel 20Mbps 14-TDFN (3x3),,,3 mm,3 mm,152.78
TG-A1250-30-30-2.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Green 30.00mm x 30.00mm Square,12.5W/m-K,"0.0790"" (2.000mm)",,,154.67
ADP7183ACPZN2.5-R7,Analog Devices Inc.,Integrated Circuits (ICs),Linear Voltage Regulator IC Negative Fixed 1 Output 300mA 8-LFCSP (2x2),,,2 mm,2 mm,163.8
MAX9703ETJ+T,Analog Devices Inc./Maxim Integrated,Integrated Circuits (ICs),Amplifier IC 1-Channel (Mono) Class D 32-TQFN (5x5),,,5 mm,5 mm,163.8
ADP7183ACPZN-R7,Analog Devices Inc.,Integrated Circuits (ICs),Linear Voltage Regulator IC Negative Adjustable 1 Output 300mA 8-LFCSP (2x2),,,2 mm,2 mm,163.8
ADP7183ACPZN3.3-R7,Analog Devices Inc.,Integrated Circuits (ICs),Linear Voltage Regulator IC Negative Fixed 1 Output 300mA 8-LFCSP (2x2),,,2 mm,2 mm,163.8
ADP7183ACPZN1.2-R7,Analog Devices Inc.,Integrated Circuits (ICs),Linear Voltage Regulator IC Negative Fixed 1 Output 300mA 8-LFCSP (2x2),,,2 mm,2 mm,163.8
MAX3394EETA+T,Analog Devices Inc./Maxim Integrated,Integrated Circuits (ICs),Voltage Level Translator Bidirectional 1 Circuit 2 Channel 6Mbps 8-TDFN (3x3),,,3 mm,3 mm,167.27
MAX6639FATE+,Analog Devices Inc./Maxim Integrated,Integrated Circuits (ICs),"Fan Control, Temp Monitor 0°C ~ 150°C, External Sensor Internal and External Sensor I2C/SMBus Output 16-TQFN (5x5)",,,5 mm,5 mm,185.85
7106DG,"Boyd Laconia, LLC","Fans, Blowers, Thermal Management","Heat Sink TO-263 (D²Pak), PowerSO-10 (MO-184), SO-10 Copper 2.0W @ 40°C Top Mount",,"0.375"" (9.52mm)","1.020"" (25.91mm)","0.591"" (15.00mm)",189.95
MAX3378EETD+T,Analog Devices Inc./Maxim Integrated,Integrated Circuits (ICs),Voltage Level Translator Bidirectional 1 Circuit 4 Channel 16Mbps 14-TDFN (3x3),,,3 mm,3 mm,202.23
4051100100017,Würth Elektronik,"Fans, Blowers, Thermal Management",Thermal Pad 100.00mm x 100.00mm Square Acrylic,1800W/m-K,"0.0015"" (0.037mm)",,,215.46
SSM2518CPZ-R7,Analog Devices Inc.,Integrated Circuits (ICs),Amplifier IC 2-Channel (Stereo) Class D 20-LFCSP (4x4),,,4 mm,4 mm,229.64
TG-A1780-30-30-0.5,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Gray 30.00mm x 30.00mm Square,17.8W/m-K,"0.0197"" (0.500mm)",,,244.44
MAX9744ETH+,Analog Devices Inc./Maxim Integrated,Integrated Circuits (ICs),Amplifier IC 2-Channel (Stereo) Class D 44-TQFN (7x7),,,7 mm,7 mm,256.73
MAX9744ETH+T,Analog Devices Inc./Maxim Integrated,Integrated Circuits (ICs),Amplifier IC 2-Channel (Stereo) Class D 44-TQFN (7x7),,,7 mm,7 mm,256.73
TPA3106D1VFPR,Texas Instruments,Integrated Circuits (ICs),Amplifier IC 1-Channel (Mono) Class D 32-HLQFP (7x7),,,7 mm,7 mm,259.56
TG-A6200F-100-100-0.5,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Blue 100.00mm x 100.00mm Square Tacky - One Side,5.0W/m-K,"0.0197"" (0.500mm)",,,265.55
7109DG,"Boyd Laconia, LLC","Fans, Blowers, Thermal Management",Heat Sink TO-263 (D²Pak) Copper 2.0W @ 30°C Top Mount,,"0.450"" (11.43mm)","1.000"" (25.40mm)","0.763"" (19.38mm)",285.71
ADP1761ACPZ-R7,Analog Devices Inc.,Integrated Circuits (ICs),Linear Voltage Regulator IC Positive Adjustable 1 Output 1A 16-LFCSP (3x3),,,3 mm,3 mm,300.83
TG-A3500-100-100-2.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Yellow 100.00mm x 100.00mm Square Tacky - Both Sides,3.5W/m-K,"0.0790"" (2.000mm)",,,305.24
SP2000-0.015-00-54,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad White 19.05mm x 12.70mm Rectangular,3.5W/m-K,"0.0150"" (0.381mm)",,,307.44
MAX31865ATP+,Analog Devices Inc./Maxim Integrated,Integrated Circuits (ICs),Temp Monitoring System (Sensor) External Sensor SPI Output 20-TQFN (5x5),,,5 mm,5 mm,322.25
MAX31865ATP+T,Analog Devices Inc./Maxim Integrated,Integrated Circuits (ICs),Temp Monitoring System (Sensor) External Sensor SPI Output 20-TQFN (5x5),,,5 mm,5 mm,322.25
TG-A4500-100-100-1.5,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Purple 100.00mm x 100.00mm Square Tacky - Both Sides,4.5W/m-K,"0.0591"" (1.500mm)",,,323.51
LTC4217CDHC#TRPBF,Analog Devices Inc.,Integrated Circuits (ICs),"Hot Swap Controller, Monitor 1 Channel General Purpose 16-DFN (5x3)",,,5 mm,3 mm,327.92
ADP1762ACPZ-1.0-R7,Analog Devices Inc.,Integrated Circuits (ICs),Linear Voltage Regulator IC Positive Fixed 1 Output 2A 16-LFCSP (3x3),,,3 mm,3 mm,335.79
ADP1762ACPZ-R7,Analog Devices Inc.,Integrated Circuits (ICs),Linear Voltage Regulator IC Positive Adjustable 1 Output 2A 16-LFCSP (3x3),,,3 mm,3 mm,335.79
ADP1762ACPZ-1.3-R7,Analog Devices Inc.,Integrated Circuits (ICs),Linear Voltage Regulator IC Positive Fixed 1 Output 2A 16-LFCSP (3x3),,,3 mm,3 mm,335.79
ADP1762ACPZ-1.2-R7,Analog Devices Inc.,Integrated Circuits (ICs),Linear Voltage Regulator IC Positive Fixed 1 Output 2A 16-LFCSP (3x3),,,3 mm,3 mm,335.79
TG-A9000-100-100-0.5,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Pink 100.00mm x 100.00mm Square,9.0W/m-K,"0.0197"" (0.500mm)",,,342.41
A18197-05,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Gray 228.60mm x 228.60mm Square Tacky - Both Sides,5.3W/m-K,"0.0049"" (0.125mm)",,,347.13
TG-A6200-100-100-1.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Blue 100.00mm x 100.00mm Square Tacky - Both Sides,6.2W/m-K,"0.0394"" (1.000mm)",,,367.29
LTC4217IDHC-12#PBF,Analog Devices Inc.,Integrated Circuits (ICs),"Hot Swap Controller, Monitor 1 Channel General Purpose 16-DFN (5x3)",,,5 mm,3 mm,371.7
TG-A1780-40-40-0.5,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Gray 40.00mm x 40.00mm Square,17.8W/m-K,"0.0197"" (0.500mm)",,,372.65
ADP1763ACPZ-1.0-R7,Analog Devices Inc.,Integrated Circuits (ICs),Linear Voltage Regulator IC Positive Fixed 1 Output 3A 16-LFCSP (3x3),,,3 mm,3 mm,378.63
ADP1763ACPZ-R7,Analog Devices Inc.,Integrated Circuits (ICs),Linear Voltage Regulator IC Positive Adjustable 1 Output 3A 16-LFCSP (3x3),,,3 mm,3 mm,378.63
LTC4232IDHC#PBF,Analog Devices Inc.,Integrated Circuits (ICs),"Hot Swap Controller, Monitor 1 Channel General Purpose 16-DFN (5x3)",,,5 mm,3 mm,386.19
MAX3395EETC+T,Analog Devices Inc./Maxim Integrated,Integrated Circuits (ICs),Voltage Level Translator Bidirectional 1 Circuit 4 Channel 6Mbps 12-TQFN (4x4),,,4 mm,4 mm,389.97
GP1500-0.020-02-0404,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Black 101.60mm x 101.60mm Square Tacky - Both Sides,1.5W/m-K,"0.0200"" (0.508mm)",,,390.6
A16104-01,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Gray 228.60mm x 228.60mm Square Tacky - Both Sides,3.0W/m-K,"0.0100"" (0.254mm)",,,426.51
A18197-08,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Gray 228.60mm x 228.60mm Square Tacky - Both Sides,5.3W/m-K,"0.0079"" (0.200mm)",,,428.72
T62-310-310-0.13,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Black 310.00mm x 310.00mm Square,20W/m-K,"0.0050"" (0.127mm)",,,474.71
EYG-S091210,Panasonic Electronic Components,"Fans, Blowers, Thermal Management",Thermal Pad Gray 115.00mm x 90.00mm Rectangular,-,"0.0039"" (0.100mm)",,,486.05
TG-A6200-150-150-0.5,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Blue 150.00mm x 150.00mm Square Tacky - Both Sides,6.2W/m-K,"0.0197"" (0.500mm)",,,503.06
ADP1764ACPZ-R7,Analog Devices Inc.,Integrated Circuits (ICs),Linear Voltage Regulator IC Positive Adjustable 1 Output 4A 16-LFCSP (3x3),,,3 mm,3 mm,529.83
BP100-0.005-00-1112,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad White 304.80mm x 279.40mm Rectangular Adhesive - Both Sides,0.8W/m-K,"0.0050"" (0.127mm)",,,533.3
SP400-0.007-AC-1212,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Gray 304.80mm x 304.80mm Square Adhesive - One Side,0.9W/m-K,"0.0070"" (0.178mm)",,,549.05
T62-1-310-310-0.16,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Black 310.00mm x 310.00mm Square Adhesive - One Side,15W/m-K,"0.0063"" (0.160mm)",,,556.29
EYG-S0909ZLX2,Panasonic Electronic Components,"Fans, Blowers, Thermal Management",Thermal Pad Gray 90.00mm x 90.00mm Square,28W/m-K,"0.0079"" (0.200mm)",,,590.0
TG-A6200-100-100-2.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Blue 100.00mm x 100.00mm Square Tacky - Both Sides,6.2W/m-K,"0.0790"" (2.000mm)",,,615.83
A18172-08,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Gray 228.60mm x 228.60mm Square Tacky - Both Sides,7.5W/m-K,-,,,642.92
GP1500-0.040-02-0404,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Black 101.60mm x 101.60mm Square Tacky - Both Sides,1.5W/m-K,"0.0400"" (1.016mm)",,,643.55
ADP1765ACPZ-R7,Analog Devices Inc.,Integrated Circuits (ICs),Linear Voltage Regulator IC Positive Adjustable 1 Output 5A 16-LFCSP (3x3),,,3 mm,3 mm,665.91
ADP1765ACPZ-1.0-R7,Analog Devices Inc.,Integrated Circuits (ICs),Linear Voltage Regulator IC Positive Fixed 1 Output 5A 16-LFCSP (3x3),,,3 mm,3 mm,665.91
SF400-505005,Same Sky (Formerly CUI Devices),"Fans, Blowers, Thermal Management",Thermal Pad Gray 50.00mm x 50.00mm Square Tacky - Both Sides,2.5W/m-K,"0.0197"" (0.500mm)",,,681.66
A17084-06,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Brown 457.20mm x 304.80mm Rectangular,-,"0.0090"" (0.229mm)",,,687.02
2191342,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Gray 304.80mm x 292.10mm Rectangular,0.9W/m-K,"0.0060"" (0.152mm)",,,706.55
TG-A1250-125-125-0.5,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Green 125.00mm x 125.00mm Square,12.5W/m-K,"0.0197"" (0.500mm)",,,713.79
A10462-15,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Gray 609.60mm x 457.20mm Rectangular,5.0W/m-K,"0.0050"" (0.127mm)",,,721.98
5583S 210 MM X 300 MM X 0.5MM,3M,"Fans, Blowers, Thermal Management",Thermal Pad White 300.00mm x 210.00mm Rectangular Tacky - One Side,1.0W/m-K,"0.0197"" (0.500mm)",,,727.65
A15993-00,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Gray 228.60mm x 228.60mm Square Tacky - Both Sides,3.0W/m-K,"0.0200"" (0.508mm)",,,737.1
69-12-42355-1674,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Pad Blue 203.20mm x 203.20mm Square Adhesive - One Side,1.0W/m-K,"0.0100"" (0.254mm)",,,738.36
GP1500-0.040-02-0816,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Black 406.40mm x 203.20mm Rectangular Tacky - Both Sides,1.5W/m-K,"0.0400"" (1.016mm)",,,765.77
GPVOUS-0.040-01-0816,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Pink 406.40mm x 203.20mm Rectangular Tacky - One Side,1.0W/m-K,"0.0400"" (1.016mm)",,,777.11
MAX9709ETN+D,Analog Devices Inc./Maxim Integrated,Integrated Circuits (ICs),Amplifier IC 1-Channel (Mono) or 2-Channel (Stereo) Class D 56-TQFN (8x8),,,8 mm,8 mm,780.57
A18172-05,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Gray 228.60mm x 228.60mm Square Tacky - Both Sides,7.5W/m-K,"0.0049"" (0.125mm)",,,789.08
TG-A6200-150-150-1.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Blue 150.00mm x 150.00mm Square Tacky - Both Sides,6.2W/m-K,"0.0394"" (1.000mm)",,,789.71
TG-A6200-100-100-3.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Blue 100.00mm x 100.00mm Square Tacky - Both Sides,6.2W/m-K,"0.118"" (3.00mm)",,,864.05
TG-A1250-100-100-1.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Green 100.00mm x 100.00mm Square,12.5W/m-K,"0.0394"" (1.000mm)",,,874.76
BP100-0.011-00-1010,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad White 254.00mm x 254.00mm Square Adhesive - Both Sides,0.8W/m-K,"0.0110"" (0.279mm)",,,893.97
EYG-S121807,Panasonic Electronic Components,"Fans, Blowers, Thermal Management",Thermal Pad Gray 180.00mm x 115.00mm Rectangular,-,"0.0028"" (0.070mm)",,,912.24
A17690-02,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Pink 228.60mm x 228.60mm Square Tacky - One Side,5.0W/m-K,"0.0200"" (0.508mm)",,,923.58
EYG-S121810,Panasonic Electronic Components,"Fans, Blowers, Thermal Management",Thermal Pad Gray 180.00mm x 115.00mm Rectangular,-,"0.0039"" (0.100mm)",,,934.92
2191191,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Pink 406.40mm x 203.20mm Rectangular Tacky - One Side,1.0W/m-K,"0.0600"" (1.524mm)",,,976.19
69-13-42350-T412,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Pad Gray 152.40mm x 152.40mm Square Adhesive - Both Sides,1.4W/m-K,"0.0091"" (0.230mm)",,,986.9
A10464-07,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Gray 609.60mm x 457.20mm Rectangular,5.0W/m-K,"0.0200"" (0.508mm)",,,1003.59
4051210297017,Würth Elektronik,"Fans, Blowers, Thermal Management",Thermal Pad 297.00mm x 210.00mm Rectangular Acrylic,1800W/m-K,"0.0015"" (0.037mm)",,,1043.28
SPK10-0.006-00-11.512,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Beige 304.80mm x 292.10mm Rectangular,1.3W/m-K,"0.0060"" (0.152mm)",,,1046.12
A10462-20,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Gray 609.60mm x 457.20mm Rectangular Adhesive - One Side,5.0W/m-K,"0.0050"" (0.127mm)",,,1058.72
TG-A6200-100-100-4.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Blue 100.00mm x 100.00mm Square Tacky - Both Sides,6.2W/m-K,"0.157"" (4.00mm)",,,1123.29
TG-A6200-150-150-1.5,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Blue 150.00mm x 150.00mm Square Tacky - Both Sides,6.2W/m-K,"0.0591"" (1.500mm)",,,1140.93
GP1500-0.080-02-0816,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Black 406.40mm x 203.20mm Rectangular Tacky - Both Sides,1.5W/m-K,"0.0800"" (2.032mm)",,,1142.19
A17653-03,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Pink 228.60mm x 228.60mm Square Tacky - Both Sides,5.0W/m-K,"0.0300"" (0.762mm)",,,1155.11
GP1500-0.125-02-0816,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Black 406.40mm x 203.20mm Rectangular Tacky - Both Sides,1.5W/m-K,"0.125"" (3.18mm)",,,1165.82
COH-4065LVC-200-10,Taica North America Corporation,"Fans, Blowers, Thermal Management",Thermal Pad Reddish Brown 200.00mm x 200.00mm Square Tacky - Both Sides,2.2W/m-K,"0.0390"" (0.991mm)",,,1176.84
SP900S-0.009-AC-1212,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Pink 304.80mm x 304.80mm Square Adhesive - One Side,1.6W/m-K,"0.0090"" (0.229mm)",,,1194.48
2165804,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Beige 304.80mm x 292.10mm Rectangular Adhesive - One Side,1.3W/m-K,"0.0060"" (0.152mm)",,,1249.92
A17690-03,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Pink 228.60mm x 228.60mm Square Tacky - One Side,5.0W/m-K,"0.0300"" (0.762mm)",,,1263.47
TG-A1250-100-100-1.5,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Green 100.00mm x 100.00mm Square,12.5W/m-K,"0.0591"" (1.500mm)",,,1273.55
TG-A6200-150-150-2.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Blue 150.00mm x 150.00mm Square Tacky - Both Sides,6.2W/m-K,"0.0790"" (2.000mm)",,,1323.63
TG-A6200-100-100-5.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Blue 100.00mm x 100.00mm Square Tacky - Both Sides,6.2W/m-K,"0.197"" (5.00mm)",,,1393.56
5549S-05,3M,"Fans, Blowers, Thermal Management",Thermal Pad Gray 210.00mm x 155.00mm Rectangular Tacky - One Side,3.5W/m-K,"0.0197"" (0.500mm)",,,1400.81
TGF60-07870787-020,Leader Tech Inc.,"Fans, Blowers, Thermal Management",Thermal Pad Gray 199.90mm x 199.90mm Square Tacky - Both Sides,6.0W/m-K,"0.0200"" (0.508mm)",,,1401.12
61-02-0909-G579,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Pad Pink 228.60mm x 228.60mm Square,3.0W/m-K,"0.0200"" (0.508mm)",,,1425.06
A18330-04,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Gray 127.00mm x 76.00mm Rectangular,34W/m-K,"0.0394"" (1.000mm)",,,1438.29
8810-0.5-5,3M (TC),"Fans, Blowers, Thermal Management",Thermal Pad White 4.57m x 12.70mm Rectangular Adhesive - Both Sides,0.6W/m-K,"0.0098"" (0.250mm)",,,1464.44
TG-APC94-150-150-2.0-0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Red 150.00mm x 150.00mm Square,4.0W/m-K,"0.0790"" (2.000mm)",,,1506.02
8815-7-11(5),3M (TC),"Fans, Blowers, Thermal Management",Thermal Pad White 279.40mm x 177.80mm Rectangular Adhesive - Both Sides,0.6W/m-K,"0.0148"" (0.375mm)",,,1608.39
EYG-S182307,Panasonic Electronic Components,"Fans, Blowers, Thermal Management",Thermal Pad Gray 230.00mm x 180.00mm Rectangular,-,"0.0028"" (0.070mm)",,,1621.62
5583S 210 MM X 300 MM X 2.0 MM,3M,"Fans, Blowers, Thermal Management",Thermal Pad White 300.00mm x 210.00mm Rectangular Tacky - One Side,1.0W/m-K,"0.0790"" (2.000mm)",,,1630.44
A18213-02,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Gray 229.00mm x 229.00mm Square,10W/m-K,"0.0197"" (0.500mm)",,,1633.59
A17690-04,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Pink 228.60mm x 228.60mm Square Tacky - One Side,5.0W/m-K,"0.0400"" (1.016mm)",,,1650.92
TG-A1450-100-100-1.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Red 100.00mm x 100.00mm Square,14.5W/m-K,"0.0394"" (1.000mm)",,,1651.55
20265,Vicor Corporation,Power Supplies - Board Mount,THERMAL PAD FOR MICRORAM 1=10PCS,,,,,1676.75
A15340-03,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Green 228.60mm x 228.60mm Square Tacky - One Side,1.2W/m-K,"0.200"" (5.08mm)",,,1681.79
5519 210 MM X 155 MM X 1.0 MM,3M,"Fans, Blowers, Thermal Management",Thermal Pad Gray 210.00mm x 155.00mm Rectangular Tacky - Both Sides,4.9W/m-K,"0.0390"" (0.991mm)",,,1730.3
